structure,phfreq,phdos
"{'numbers': [6, 6, 6, 6, 6, 6], 'positions': [[0.0, 0.0, 9.274166109761676], [0.0, 0.0, 1.8548334890483282], [1.2339999676000002, 0.7124502063421644, 1.8548331217913376], [1.2339999676000002, 0.7124502063421644, 5.56449985505], [3.2837985964212975e-17, 1.4249004126843288, 5.56449985505], [3.2837985964212975e-17, 1.4249004126843288, 9.27416705572665]], 'cell': [[2.4679999352, 0.0, 0.0], [-1.2339999676, 2.1373506404, 0.0], [0.0, 0.0, 11.1289997101]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.0, 0.016933910788354246, 0.040944458286050686, 0.05251116825535131, 0.07765744117903982, 0.08010441771194392, 0.09577677573797558, 0.11474678326718829, 0.14836961323868028, 0.12177452918834909, 0.1829474450958374, 0.22353100137927256, 0.2941270313942729, 0.2342560303226191, 0.27514101560809107, 0.2735689723774052, 0.31851082401712166, 0.34185295171853985, 0.3695358510317288, 0.37721176615731644, 0.5513162039685063, 0.8087976271778043, 1.0, 0.8313601053720177, 0.6613485578411737, 0.35560013715686467, 0.21660529988638755, 0.23866967661995467, 0.4385135091742347, 0.8053654107571726, 0.9578300560434503, 0.9490489373225036, 0.801413244060049, 0.6667403188814588, 0.4888743137882055, 0.5083701523474995, 0.2959809745759402, 0.44334906613202796, 0.5186104080642069, 0.6066234558624644, 0.5697081960277924, 0.40500469163560016, 0.30858381538784696, 0.337225647998822, 0.406220419437581, 0.3654164368637478, 0.15300715525672634, 0.0, 0.0, 0.3905568469277683]"
"{'numbers': [72, 72], 'positions': [[-2.2366015734291386e-06, 1.8490612390267607, 3.7977560540593656], [1.6013338827486974, 0.9245300149566377, 1.2659189066786856]], 'cell': [[3.2026653217497096, 8.873309031e-07, -1.1216674774e-06], [-1.6013318932910918, 2.773590284486919, 6.714473532e-07], [-1.7807101221e-06, 2.014299774e-07, 5.063675410958179]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.05220870154698572, 0.0, 0.1045679011559471, 0.37829807217643346, 0.7485409374842498, 1.0, 0.9821097945079706, 0.595252249499392, 0.20833112921832372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"{'numbers': [72, 72, 72, 72, 72, 72, 72, 72, 73, 73, 73, 73, 6, 6, 6, 6, 6, 6, 6, 6], 'positions': [[8.875253960757787, 0.5290927492830394, 1.4992574455407934], [2.016765938313691, 6.67748773320296, 4.54216068708894], [5.739735974974952, 4.040037757420346, 4.557700029616718], [2.173178398992466, 2.8885197100949074, 0.4981525578626674], [8.241528383890511, 3.4135440807073767, 2.531085162589897], [2.650486391373287, 3.7930358689633983, 3.510340796887017], [8.718831737518089, 4.318070160099977, 5.543266173494662], [5.1522836005362675, 3.166540863369741, 1.4837241550437537], [7.648064471661684, 6.4854265221762555, 3.54373281412979], [3.2439561810431106, 0.7211633018984405, 2.497687104149901], [5.745856880375758, 0.306956316300365, 0.4304795580315343], [5.146161012684045, 6.899630951463534, 5.610949309921742], [1.510416968662079, 2.02882629841054, 2.532274361157462], [9.38159224304268, 5.177760498366451, 3.5091426857039956], [3.964597856941564, 1.5242176747824256, 0.49340219338528163], [6.927417005226517, 5.682370973432531, 5.548020013298087], [3.9117031512902742, 5.406526963209277, 4.529920793757053], [7.613875315628676, 2.6220848358121436, 4.548875636958578], [3.278141226842237, 4.584499032545707, 1.4925489629780693], [6.980320724042798, 1.8000557272730984, 1.5114964648679448]], 'cell': [[8.607006464437283, 0.0977106087997703, -0.0495975340074417], [1.0696038463464626, 5.477742766399123, 0.0057388083988065], [1.235650501526235, 1.6142422113383377, 6.073564000724581]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.024868078694836315, 0.0, 0.04514142494827089, 0.14715221208659895, 0.21010611983395808, 0.3839505112634639, 0.6837301687673055, 0.8984706916274875, 1.0, 0.7654413967662637, 0.4155783767544086, 0.10925498723051365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11512892947519059, 0.3889771398313764, 0.40462938840572993, 0.38947285040685686, 0.3820386165147866, 0.5694744972796482, 0.6329002629031387, 0.3311877811211029, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"{'numbers': [72, 72, 72, 73, 73, 73, 73, 73, 6, 6, 6, 6, 6, 6, 6, 6], 'positions': [[5.526698630227392, 3.220403386130502, -0.08802027187068348], [4.671263280587665, 1.6606646860902259, 5.184626547334299], [2.7561171921960206, 1.6074059106396779, -0.03873717728282352], [0.9419028178797015, 1.6241239483615113, 2.624257113048251], [2.847523720402853, 1.6770593122419848, 7.815350929938709], [3.707496885631386, 3.2371855775166596, 2.585909351690511], [0.06992140710917452, 3.269818610261277, 7.825352191505663], [1.8887047776421222, 3.2535201558978084, 5.205675282595683], [1.845236044133874, 3.219130767042883, 1.3280973178252875], [1.9321768730765516, 3.2878992357511145, 9.083191020547456], [0.04506749855378116, 3.2350722102421376, 3.8974554808332944], [3.7323428166592127, 3.2719500195234428, 6.513845797302905], [1.0074611509785598, 1.6589687405107336, 6.544796010841786], [2.7819356949722276, 1.6422169607665529, 3.894781886620367], [-0.8325220337524113, 1.6749140451154563, 9.130519088577705], [4.621926285328502, 1.6262804293997875, 1.3090598119721155]], 'cell': [[5.553144025308446, 0.0201485243005264, -0.0703159747248369], [-0.0119950271841774, 3.205837566260522, -0.0282882210815126], [-1.7228472533042416, 0.0863829435120312, 10.517041399237586]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.016597939219827024, 0.0, 0.03213119756531916, 0.14932182420139786, 0.42349712759986313, 0.7686966117852824, 0.9573690910501919, 0.8958146982498575, 0.7894427383685616, 0.7048131884659445, 0.41359317862105066, 0.12084787005358316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.056267862217759375, 0.3708255843073045, 0.7600090007194665, 1.0, 0.9676741421813101, 0.8173902771614665, 0.6028379119646085, 0.3763399401962826, 0.27412397834972363, 0.12447776545461292, 0.02535848253712238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"{'numbers': [72, 72, 72, 72, 72, 72, 73, 73, 6, 6, 6, 6, 6, 6, 6, 6], 'positions': [[5.716720057478292, 1.1772724542441215, 0.6355574497231465], [0.9875806001660106, 3.4444496472311212, 5.683931870614127], [4.138114883638447, 3.4670256738188066, 2.3258349858695557], [2.566187803614821, 1.1546962263361966, 3.99365118032542], [2.457425746628763, 1.163826960641207, 0.7494756064040197], [4.246873053503884, 3.4578961200370584, 5.570010531945749], [0.8827733498771444, 3.4536077898784874, 2.435518306211957], [5.821527234457279, 1.1681141549887748, 3.8839796130706006], [2.425175568565675, 3.4646954435471287, 0.7809294991660195], [4.279120467194302, 1.1570363998315234, 5.53856786453095], [4.170023579882012, 1.1660290662189232, 2.3397891614475297], [2.534276753243167, 3.455700717501046, 3.979709258265556], [0.8708860354102484, 1.1524347155271912, 2.451410032791224], [5.833411507148989, 3.4693075460019522, 3.8680860072449192], [5.729729361714765, 3.478333346692058, 0.6634929131901529], [0.9745687637672082, 1.1433965423431813, 5.656006017971433]], 'cell': [[6.50310904301872, 0.0268435610330358, -0.2328060766802731], [-0.0185104740127431, 4.602060190950538, 0.0135694631958014], [0.2235801958211825, -0.0182786560267634, 6.5034478573458285]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.013503690793283658, 0.02455550589116077, 0.045084276304629155, 0.17990385935620676, 0.43665712563749226, 0.719298966189007, 0.9205135574423398, 0.8811313629420486, 0.859858399889567, 0.5932142953517844, 0.20184746458683647, 0.0028357124373135823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20737093022069256, 0.5094535466125623, 0.49071880667073475, 0.2178605152964284, 0.680091333926658, 1.0, 0.9640443622283651, 0.25320765447224464, 0.20887778069402127, 0.22567645277756984, 0.3413584319049425, 0.10557593340226018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"{'numbers': [72, 72, 72, 72, 72, 72, 72, 72, 73, 73, 73, 73, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], 'positions': [[4.764030409229235, -1.63349207445957, 3.449605024938347], [4.684515446934839, 1.5422444307466983, 3.3587502201914488], [1.8796975194613035, 0.0475453422611987, 3.441533772022398], [5.573600139493278, 0.0024208022471588434, 8.756027258020366], [2.7523931103674424, -1.4934552857103516, 8.661801143084215], [2.854121180512218, 1.6826042961208298, 8.708068634068752], [3.7611711783378556, -3.259159191750013, 6.154361643704032], [2.8807624765576736, -1.5862290590471295, 0.8446581950759328], [3.8017302622383657, 0.15670522784232668, 6.114018343986685], [2.931426463259716, 4.7202359539155205, 0.7840032249230361], [2.730082164296732, 1.5879209406128243, 0.8093730850666678], [3.622292148642035, 3.290398080241458, 6.095389086651393], [4.683284062640956, -1.5377909662561835, 7.39262763416286], [1.8676296495809794, 0.04296178630256556, 7.360191003407051], [4.635893240263075, 1.6641158590696594, 7.370130549109743], [3.7551045440748863, 3.224825376437896, 2.061204591861281], [3.7889808740793467, -0.006072264492587507, 2.078795723933266], [3.790886972041864, -3.2964516994995243, 2.1070188286160336], [2.8505295378146784, 1.6549437389515866, 4.779128546728994], [3.7425745504359833, 3.2783199303809707, 10.065685873357848], [3.6889332095264042, 0.06459595351203364, 10.08781378976027], [5.610112531431315, -0.002137427628688968, 4.806549659794884]], 'cell': [[2.790743199408313, -4.871087832120244, 0.0504401014075769], [2.8247460904228756, 4.851681588674172, -0.0178509848316164], [1.772941863507969, 0.0682329428774301, 10.59544278978048]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.012084428446968382, 0.02729087770013742, 0.08074080997518249, 0.18968825855497398, 0.4043671240814202, 0.7005312495128256, 0.9334650669675609, 1.0, 0.9569550683180055, 0.6358110862038171, 0.25362376563820166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.050632800198386806, 0.1305061653752646, 0.38717801079543174, 0.484938958642944, 0.5278281162988955, 0.46874716160409713, 0.540877661238311, 0.6410017153536398, 0.5176943074445788, 0.348557001304683, 0.20097877649849993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"{'numbers': [72, 72, 72, 72, 72, 73, 73, 73, 6, 6, 6, 6, 6, 6, 6, 6], 'positions': [[2.4196555200899392, 3.7210245506617894, 0.6962146440720824], [0.783583151236576, 0.9256023459067095, 0.6569340225863276], [4.034931588178155, 4.613530607294375, 3.3538725046802873], [5.63653891545832, 1.8023392113795518, 3.3198265456140827], [0.7972538757232253, 4.6292331294512765, 3.3487033826610073], [4.021287247905933, 0.9098712208604707, 0.6620683472590241], [2.405357833520942, 1.817722248780134, 3.315057457846033], [5.650958157724927, 3.70563579055755, 0.7010418326352653], [5.637488034169641, 5.550170301846234, 2.0151244026474044], [2.4321825158659984, 3.6369722192534737, 4.663750869052118], [5.623867355269724, 3.661583360868368, 4.6979626334042335], [2.4460511219987082, 5.6057126587286215, 2.039115311873576], [0.7902885621515912, 2.775286089662738, 2.0010808499323187], [4.0419348387788325, 6.486405975957801, 4.715081365751017], [4.02791892308768, 2.7408048341529234, 1.992929608332546], [0.804113497092769, 6.483555418576219, 4.696330014252155]], 'cell': [[6.475402943059827, -0.0314997343697948, 0.0105246774820555], [0.0271099009073445, 5.607082924271231, 0.0732162737323394], [0.0001637504818709, 1.800704041977339, 5.3106110071913735]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.06160195945590245, 0.12559950709876758, 0.19167129583677053, 0.2729980986895334, 0.5133899980749227, 0.7766842478171989, 0.8732071022183289, 0.9403081768852782, 1.0, 0.8348141636680215, 0.35852199939829926, 0.002998607467101764, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.040373709927741745, 0.14624025765809032, 0.12723632002635624, 0.31559279340389906, 0.4671620680694159, 0.4589492351830221, 0.41691966641053185, 0.4921482585409922, 0.7529663543893679, 0.7626605371990232, 0.5597989889919696, 0.46392282434134174, 0.382619866678179, 0.42230069113827456, 0.16535879000871087, 0.0061702884750127005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"{'numbers': [72, 72, 72, 72, 72, 73, 6, 6, 6, 6, 6, 6], 'positions': [[2.7841659768710705, 4.804611493281731, 6.185055138933666], [0.4537722370953953, 2.5190518317968444, 6.174711239057814], [2.822146085034824, 4.780004385149285, 1.5629904805268715], [0.49465934419994184, 4.813640461923491, 3.853810685446445], [2.781271970862909, 2.4844341773977887, 3.881634998226978], [0.4917271113058845, 2.494482928344868, 1.5574156007938895], [0.47535768591179395, 4.8266712364440405, 6.203115744963024], [2.762217712484709, 2.4964144972068776, 6.200232177004025], [2.800186351384748, 2.472498335623495, 1.5764918662258867], [0.5136428498153413, 4.801290264435066, 1.543903101397217], [2.8032285853815813, 4.792772921729224, 3.8664584930793393], [0.47307398773196613, 2.5060214513685275, 3.825398286225407]], 'cell': [[4.617007369769664, -0.0436604595677707, 0.0381705465199034], [0.0438641379248301, 4.615208751865535, -0.0270175775488383], [-0.0349938735823615, 2.344195731796861, 6.913695318506445]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.016480599930553553, 0.016749867952432686, 0.057577955614011425, 0.17182436402237014, 0.27217759740805453, 0.5249177826852696, 0.8362234790740926, 1.0, 0.6697661175290368, 0.20310249926309829, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05630893142636287, 0.1823058082442501, 0.20151469601932415, 0.15437218139949452, 0.26789965144064903, 0.4090707696104177, 0.511396016302516, 0.48989902786284756, 0.49971690034085464, 0.40158048992709616, 0.2435429888563924, 0.16334669073169605, 0.1048301488083583, 0.02638057602672678, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"{'numbers': [72, 72, 72, 72, 72, 72, 72, 73, 6, 6, 6, 6, 6, 6, 6, 6], 'positions': [[2.3215482943866825, 1.1971030956748425, 1.1656558742515184], [2.3613649178425926, 3.5265946237084376, 8.096560807061394], [0.029700204038530638, 1.1831131873486425, 3.505822851683614], [0.029629034241233723, 3.5008935125382057, 5.808349149442032], [-0.010231428274861433, 3.4891197271888292, 1.1799694539510446], [0.06946351455682066, 1.1947914025303557, 8.122205756887187], [2.321601245372779, 3.5149162242635748, 3.480174955109309], [2.3614567823490673, 1.2091618026069273, 5.794041923752164], [0.009724430182106138, 1.177260070911615, 1.18563507208172], [0.04950072323960362, 3.5067884405648604, 8.110723626537837], [0.009839696714655803, 3.4951387004992425, 3.5059678745756675], [0.049457005184665385, 1.1891099661687428, 5.814016354368372], [2.341911080574913, 1.2031327875999307, 3.527286826393815], [2.3415062746265916, 3.5201228793203403, 5.7883715506346], [2.301630766799031, 3.50904343549011, 1.1599875291169752], [2.3809587401933987, 1.214602438893718, 8.06077911016201]], 'cell': [[4.623679256340665, 0.0397759140079768, -0.0399478711026113], [-0.0398741915600343, 4.623838442936408, -0.0113451451669282], [0.0797787234535028, 0.0234000173377414, 9.256748754546667]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.01391890907398291, 0.019671753703522574, 0.09165396154614158, 0.1816455176902869, 0.28112504407120137, 0.49521625701522615, 0.8107421029840796, 1.0, 0.651866853006878, 0.2080859343935413, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10237683830174785, 0.22034516657438039, 0.2103776939630259, 0.2584419020316987, 0.38188306209820194, 0.4807966511447095, 0.4003826511123871, 0.32279679951687124, 0.4369798109587093, 0.3227843529957762, 0.2287505121869987, 0.17686683509074516, 0.15743677393355626, 0.0620859957696835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"{'numbers': [72, 72, 72, 72, 72, 72, 72, 72, 72, 73, 73, 73, 6, 6, 6, 6, 6, 6, 6, 6], 'positions': [[9.180896638671001, 0.48595263804, 1.721394385244], [0.936621121622, 1.205447900095, 4.7137619428279995], [5.875532572248001, 4.136978676688, 4.884659357172], [2.311234875504, 2.9789641913029996, 0.572770635096], [8.529692306099, 3.4149691786819996, 2.80191833036], [2.68375229598, 3.970852991139, 3.6516046557440003], [8.927118987666999, 4.357969669378, 5.89398764876], [5.369773641131999, 3.222553235952, 1.5542153249239998], [3.35006360019, 0.715864830373, 2.66579238864], [6.849613940978, 0.967406121244, 3.7851595358359997], [5.951678516846, 0.344606375711, 0.405071412124], [5.2961828452669995, 6.99844549799, 6.0473692010799995], [1.515613209828, 2.1145380343210003, 2.6912453435679997], [9.706083657696999, 5.285231212838, 3.7804109026159995], [4.127206112626999, 1.550199660874, 0.517867404516], [7.133854467123, 5.812393971809, 5.904935844404], [4.002033277672, 5.544647392627, 4.850868497255999], [7.836971622748, 2.6262553088910003, 4.84073720628], [3.404891258797, 4.718808132827999, 1.604933992952], [7.236733153446, 1.796616436873, 1.6538857511879999]], 'cell': [[8.940861, 0.007525, 0.03914], [1.142836, 5.701351, 0.0378], [1.178598, 1.587171, 6.380692]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.016247840281287087, 0.00459188502065837, 0.08587723595049544, 0.1981914291207635, 0.36288282909663533, 0.6350668592277607, 0.8205563647151011, 1.0, 0.6918276423091146, 0.30300260194613077, 0.009830975486919866, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.021287673146216834, 0.11642610721882898, 0.19595520409679645, 0.3212642755841926, 0.2638344813413952, 0.1713357650533009, 0.1936262420746811, 0.3941300138226863, 0.644104304049002, 0.35806641868621447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
