,structure,phfreq,phdos
0,"{'numbers': [56, 52], 'positions': [[0.0, 0.0, 0.0], [2.220446049250313e-16, 6.022430681109324, -4.440892098500626e-16]], 'cell': [[1.4195005246127737, 4.014953787406216, 2.4586470300000003], [1.4195005246127737, 4.014953787406216, -2.4586470299999994], [-2.839001049225547, 4.014953787406216, -0.0]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.1603814665137704, 0.366293016390463, 0.6980961706626653, 1.0, 0.8567671272237708, 0.42117213494678274, 0.0, 0.06118421773686039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,"{'numbers': [72, 6], 'positions': [[0.0, 0.0, 0.0], [-2.220446049250313e-16, 2.1646764986961413, 1.609823385706477e-15]], 'cell': [[1.0204382875354625, 2.886235331594854, 1.7674509600000003], [1.0204382875354625, 2.886235331594854, -1.7674509599999995], [-2.0408765750709246, 2.886235331594854, -0.0]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.02337731725373556, 0.030910686260937723, 0.149185260293883, 0.3585350538773499, 0.6013938957949927, 0.8099068615034676, 0.8546229693074607, 0.7000216015313149, 0.7419304703662034, 0.5802921816864388, 0.3285611756645807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03881875673969001, 0.21245921381712993, 0.5424084717698736, 0.9625349533828716, 1.0, 0.6216449371432599, 0.11844061265929003, 0.0, 0.0, 0.0, 0.25397940698173477, 0.6683053283485471, 0.6862503996432608, 0.30758040877474524, 0.0, 0.0, 0.0, 0.0, 6.366763466322196e-51, 1.9491023342787074e-52, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2,"{'numbers': [32, 6], 'positions': [[0.0, 0.0, 0.0], [-1.6653345369377348e-16, 1.977267324457915, 1.6653345369377348e-15]], 'cell': [[0.9320927555618487, 2.636356432610553, 1.6144320100000005], [0.9320927555618487, 2.636356432610553, -1.6144320099999996], [-1.8641855111236971, 2.636356432610553, -0.0]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.0017221473876927959, 0.005981246148731173, 0.014192319897551403, 0.02792455396019303, 0.049190464731450965, 0.094161565229149, 0.19180047272279707, 0.31424406260327453, 0.4653198420640793, 0.5062626860421147, 0.4387458961526846, 0.3247909214781825, 0.19152359373152725, 0.21369694818790635, 0.300771212756225, 0.3384708885335868, 0.2139151203126578, 0.030094766636206846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3672508024117639, 0.9715666504915614, 1.0, 0.4449881471478156, 0.0, 0.3679761785330005, 0.5392560411743259, 0.42028024012292386, 0.01900382048910564, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"{'numbers': [5, 33], 'positions': [[4.440892098500626e-16, 6.194849927298992, 4.440892098500626e-16], [0.0, 0.0, 0.0]], 'cell': [[0.9734267537835797, 2.7532666343551075, 1.6860245950000003], [0.9734267537835797, 2.7532666343551075, -1.6860245949999995], [-1.9468535075671591, 2.7532666343551075, -0.0]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.002277293012378372, 0.007864658278247108, 0.019232118927951628, 0.037725543798254116, 0.07353372169691527, 0.17681587037308197, 0.3208107643352361, 0.5094280817834275, 0.5859771214438608, 0.5298142599652284, 0.3903048815578907, 0.3238567439348385, 0.4137148450785284, 0.40547500225638816, 0.2613406604433068, 0.03683374591867582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07235107123029098, 0.5926574587348676, 1.0, 0.7948971672228378, 0.6175208360722948, 0.5845575191427689, 0.4648782030419964, 0.08226650645684222, 0.0, 0.0, 0.0, 0.0, 2.5547756782174427e-74, 4.548247148010945e-72, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,"{'numbers': [20, 34], 'positions': [[0.0, 0.0, 0.0], [-1.1102230246251565e-16, 2.814632686384055, -3.3306690738754696e-16]], 'cell': [[1.3268305727276488, 3.7528435818454042, 2.2981379650000004], [1.3268305727276488, 3.7528435818454042, -2.2981379649999996], [-2.653661145455297, 3.7528435818454042, -0.0]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.258870972416879, 0.5505201512544314, 0.6260320256146927, 0.3845109885017599, 0.24521407899089442, 0.2755894288856704, 0.25977874558476544, 0.0, 0.40915290446938146, 0.9575630754036975, 1.0, 0.4493198019314328, 0.044440278059270096, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"{'numbers': [56, 31, 14, 1], 'positions': [[0.0, 0.0, -5.09684999096064], [-2.1270808749999994, 1.228070715769355, -2.74580253205248], [-2.127080875, -1.2280707157693553, -2.3325744911769597], [-2.1270808749999994, 1.228070715769355, -4.48935471015168]], 'cell': [[-2.1270808750000008, -3.6842121473080645, -5.209845570192602e-16], [-2.127080874999999, 3.6842121473080645, 2.604922785096301e-16], [0.0, 0.0, -5.10302976]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.15038515440520592, 0.0, 0.1269203824878169, 0.6632252615465669, 0.8890812746764221, 1.0, 0.8437643881373473, 0.7353309220903183, 0.6607256446024484, 0.4118549371196617, 0.2735250250293482, 0.10325584653089377, 0.0, 0.0, 0.08452865381309006, 0.5313954523497054, 0.6476865080617623, 0.3946575631240757, 0.01300802344546716, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22309319541708877, 0.5851221469627436, 0.6117022071275797, 0.265225646819965, 0.025723126268860738, 0.0, 0.0]"
6,"{'numbers': [13, 31, 7, 7], 'positions': [[1.5712298, 1.5712298, 2.212548985], [0.0, 0.0, 0.0], [-9.62100772647468e-17, 1.5712298, 1.15226453570221], [1.5712298, 0.0, 3.2728334342977905]], 'cell': [[3.1424596, 0.0, 1.924201545294936e-16], [-1.924201545294936e-16, 3.1424596, 1.924201545294936e-16], [0.0, 0.0, 4.42509797]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.0029207604820331683, 0.010201410950025896, 0.02375020228214472, 0.04513648577780282, 0.07241242373258516, 0.1801164750063612, 0.3152768236493848, 0.45191061770240354, 0.5198793678465068, 0.5881604758298596, 0.597975803266675, 0.44790832264514485, 0.2817348584701516, 0.13088171921528713, 0.13448961030624276, 0.17929567466743934, 0.24967304736561244, 0.29208832409336205, 0.3361511419522221, 0.3478783352837458, 0.34717048870509776, 0.3038477020476903, 0.20061069659932393, 0.08291644456681743, 0.0, 0.0, 0.05453496256714924, 0.3385851174990735, 0.5106672034552437, 0.5320311227687751, 0.48366981755700406, 0.783175446306546, 1.0, 0.8258553013322834, 0.5795250011121674, 0.33653757642786164, 0.24331988641406488, 0.1979636502642698, 0.1453629160140442, 0.08628094661235515, 0.02653889047671108, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,"{'numbers': [5, 5, 15, 15], 'positions': [[-1.5899924000000003, -0.9179825401494596, -2.6350896710789], [-1.5899923999999999, 0.9179825401494596, -5.272526661078899], [-1.5899924000000003, -0.9179825401494596, -0.6617065664211004], [-1.5899923999999999, 0.9179825401494596, -3.2991435564211]], 'cell': [[-1.5899924000000007, -2.753947620448378, -3.8943582066572365e-16], [-1.5899923999999994, 2.753947620448378, 1.9471791033286182e-16], [0.0, 0.0, -5.27487398]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.0005909382605147542, 0.0022518190833930277, 0.00520088206488525, 0.009729034720406744, 0.016101835080184763, 0.024868008763023662, 0.03699253536613587, 0.05329046878704035, 0.08031010824211823, 0.13223608038991644, 0.19581346359369362, 0.2855002803999317, 0.39859442391798994, 0.4559440047856089, 0.41763864883139057, 0.3195181431577935, 0.271597433317777, 0.26730019119039, 0.25634510196324556, 0.2082707495708281, 0.1978780690518644, 0.2777676477282755, 0.3417314886493055, 0.2750427910696353, 0.11023345439046202, 0.010558473175799403, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.038333404753761645, 0.17803077762438188, 0.3311332986403648, 0.6069513300869406, 0.8722418675411053, 1.0, 0.9292072422687639, 0.56396570595109, 0.21292007147128286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,"{'numbers': [39, 39, 16, 16, 9, 9], 'positions': [[-1.1435187860586977e-16, 1.8675079, 1.5369008296254003], [1.8675079, 0.0, 5.2329909403746], [-1.1435187860586977e-16, 1.8675079, 4.35199784477742], [1.8675079, 0.0, 2.41789392522258], [0.0, 0.0, 0.0], [1.8675078999999999, 1.8675079, 2.2870375721173954e-16]], 'cell': [[3.7350158, 0.0, 2.2870375721173954e-16], [-2.2870375721173954e-16, 3.7350158, 2.2870375721173954e-16], [0.0, 0.0, 6.76989177]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.009712681390735384, 0.02794373849813075, 0.06180120682352211, 0.16422794717837105, 0.4614124605012938, 0.680717126856548, 0.5938144004620506, 0.497069454699479, 0.5253510879448503, 0.8224390875149037, 0.9915281748655546, 1.0, 0.9592311264665505, 0.696102364640979, 0.5827799889040655, 0.6266999796546816, 0.6706200473508575, 0.4635709031220397, 0.12985836463583747, 0.0, 0.0066043065001991225, 0.002733291147985159, 0.0, 0.0, 0.0005661446381327841, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,"{'numbers': [22, 32, 78], 'positions': [[0.0, 0.0, 0.0], [4.440892098500626e-16, 5.126350529532103, 8.881784197001252e-16], [4.440892098500626e-16, 7.689525794298153, 8.881784197001252e-16]], 'cell': [[1.2082924073904662, 3.417567019688068, 2.0928238400000003], [1.2082924073904662, 3.417567019688068, -2.0928238399999994], [-2.416584814780932, 3.417567019688068, -0.0]], 'pbc': [True, True, True]}","[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0, 200.0, 220.0, 240.0, 260.0, 280.0, 300.0, 320.0, 340.0, 360.0, 380.0, 400.0, 420.0, 440.0, 460.0, 480.0, 500.0, 520.0, 540.0, 560.0, 580.0, 600.0, 620.0, 640.0, 660.0, 680.0, 700.0, 720.0, 740.0, 760.0, 780.0, 800.0, 820.0, 840.0, 860.0, 880.0, 900.0, 920.0, 940.0, 960.0, 980.0, 1000.0]","[0.0, 0.021546274088159376, 0.06213645595683314, 0.26135269662087746, 0.5561841272052959, 0.689849454656142, 0.6136492467822616, 0.333303359713539, 0.4734178976877492, 0.9210586800615062, 1.0, 0.5021474939250218, 0.30056244788514425, 0.8117300348616164, 0.9750428384621775, 0.5332126120639065, 0.10163004345996765, 0.0, 0.08723979668985257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
